"","Protozoa","Foraminifera","Porifera","Cnidaria","Ctenophora","Rotofera","Nematoda","Acanthocephala","Sipuncula","Mollusca","Annelida","Arthopoda","Bryozoa","Brachiopoda","Chaetognatha","Echinodermata","Hemichordata","Urochordata","Class_Pisces","Class_Amphibia","Class_Reptilia","Class_Aves","Class_Mammalia"
"Pred 1",12.8588661484746,4.834260718069,2.13382692169365,8.390224168769,324.771686141918,6.84870577505679,1,0.490830986490128,2.47011983766065,6.01566256464958,6.33223943183371,17.8516629488614,1,1.92313738198965,17.358544830723,12.6883133648642,1,2.42850480558211,9.5395081375362,7.37686977198547,20.1651371867552,105.994259995613,15.7355720095169
"Pred 2",0,0.572769653409072,1.64865028800769,1.48601446464972,0,0.13074229585386,0.765209867400003,0.349116861997198,1,3.82283247644946,3.18511225887639,3.33528185222815,0.198050191377942,1,3.71204619355643,4.13280404733487,0.198050191377942,0,4.03632633602279,1.07590213278577,6.75314687834596,51.1072286386371,3.27383195162271
"Pred 3",0,0,2.84301839172958,1.62168180309224,4.48046159513654,1.83926052044416,0,0.133902540777961,2.36500591197403,1.43559260353799,1.65238069065072,5.70082366914607,0.746582408265619,1.52627830092047,8.22127749687858,9.31174793435718,0.746582408265619,0,3.72578814049727,5.09527134969961,21.9210083572697,139.514911067555,13.2783375955188
"Pred 4",0.266941071380601,0.28183196790181,2.04888688592067,2.11792173444349,1,0,3.43290740210296,0.526648267031919,0.608618759283727,7.12347427235495,5.38327424703083,3.46831093216736,0,0.997463800719631,4.99473441445205,2.37016344232399,0,1,5.457489603819,0,1,25.0603539640922,0
"Pred 5",15.9687108844298,1.56095490931149,1.1749886377625,6.23413213497601,333.321481686139,0.453992545322917,7.56677649347737,0,0,3.3350981897686,2.40264828048393,9.26184281101472,0.144685571308364,0,17.9724210140148,0.0869842274995536,0.144685571308364,5.36438356026906,1,0.399414141579868,1.49542803012744,1,1
